Identity;RemoteHostName;BatchName;FinalSyncTimestamp;LargeItemsEncountered;TotalMailboxItemCount;TotalMailboxSize;TotalPrimaryItemCount;TotalPrimarySize;TotalArchiveItemCount;TotalArchiveSize;ItemsTransferred;BytesTransferred;ArchiveItemsTransferred;ArchiveBytesTransferred;ShardItemsTransferred;ShardBytesTransferred;SyncedItemCount;OverallDuration;TotalFailedDuration;TotalInProgressDuration;TotalQueuedDuration;TotalSuspendedDuration;TotalTransientFailureDuration;TotalStalledDueToContentIndexingDuration;TotalStalledDueToMailboxLockedDuration;TotalStalledDueToMdbReplicationDuration;TotalStalledDueToReadCpu;TotalStalledDueToReadThrottle;TotalStalledDueToReadUnknown;TotalStalledDueToWriteCpu;TotalStalledDueToWriteThrottle;TotalStalledDueToWriteUnknown
User-2343;owa.psdaych.re;EXOMigration_EMEA_W45_D2_3_20241105094734;11/12/2021 01:10;0;2002;877,73;1999;877,72;3;0,01;5937;1125,5;8;0,08;3491;75,89;0;414,2;0;112;0;288,4;0;0;0;0;0;0;0;0;0;0
User-2344;owa.psdaych.re;EXOMigration_EMEA_W45_D2_1_20241105080753;11/11/2021 20:53;0;1572;120,78;1569;120,77;3;0,01;1670;135,77;4;0,05;95;1,77;1657;111;0;7;0;103;0;0;0;0;0;0;0;0;0;0
User-2345;ews-apac.psdaych.re;EXOMigration_APAC_W43_D3_20241025075825;11/11/2021 17:41;0;3984;1721,66;3982;1721,65;2;0,01;4385;1773,84;6;0,08;319;7,22;0;1015,8;0;350,4;0;595;1;0;0;0;0;0;0;0;2;0
User-2346;ews-apac.psdaych.re;EXOMigration_APAC_W43_D4_20241025093414;11/10/2021 19:01;0;469;174,19;466;174,18;3;0,01;734;187,4;12;0,11;223;2,47;0;960,4;0;357,6;0;558,4;0;0;0;0;0;0;0;0;1;0
User-2347;owa.psdaych.re;EXOMigration_EMEA_W45_D1_1_20241105073010;11/11/2021 19:36;0;2134;672,76;2131;672,74;3;0,01;2782;760,35;7;0,08;506;22,22;0;369,4;0;77,6;1;289,8;0;0;0;0;0;0;0;0;0;0
User-2348;ews-amer.psdaych.re;EXOMigration_AMER_W45_D1_20241105053437;11/12/2021 07:20;0;53976;3853,74;53973;3853,73;3;0,01;77128;6184,81;9;0,11;23014;2037,73;0;401,4;0;81,8;0;327;0;0;0;0;0;0;0;0;0;0
User-2349;ews-apac.psdaych.re;EXOMigration_APAC_W43_D3_20241025075825;11/11/2021 17:47;0;301514;66423,97;46625;15223,85;254889;51200,11;303378;68658,81;255215;53075,94;1619;80,23;0;1007,8;0;601,2;0;224,2;12;0;0;0;0;0;0;0;508;0
User-2350;owa.psdaych.re;EXOMigration_EMEA_W45_D2_3_20241105094734;11/12/2021 01:10;0;16476;2834,43;16472;2834,41;4;0,02;24002;3592,2;7;0,08;3218;219,51;0;629,6;0;404,4;0;275,6;1;0;0;0;0;0;0;0;0;0
User-2351;owa.psdaych.re;EXOMigration_EMEA_W45_D2_1_20241105080753;11/11/2021 20:54;0;1804;255,88;1801;255,87;3;0,01;2536;312,46;6;0,07;692;38,74;0;350,4;0;137,6;0;190;0;0;0;0;0;0;0;0;0;0
User-2352;owa.psdaych.re;EXOMigration_EMEA_W45_D2_1_20241105080753;11/11/2021 20:55;0;5482;354,33;5480;354,31;2;0,02;5982;415,57;6;0,09;438;22,66;0;329,2;0;75;0;245,2;8;0;0;0;0;0;0;0;0;0
User-2353;owa.psdaych.re;EXOMigration_EMEA_W45_D2_2_20241105085348;11/12/2021 02:45;0;235;20,17;232;20,15;3;0,01;402;27,36;5;0,07;160;5,96;347;148,2;0;3;0;143,2;0;0;0;0;0;0;0;0;0;0
